 INFO  Accepting connections at http://localhost:3000
 HTTP  4/6/2026 12:35:06 AM ::1 GET /
 HTTP  4/6/2026 12:35:06 AM ::1 Returned 200 in 268 ms
 HTTP  4/6/2026 12:35:06 AM ::1 GET /static/js/main.8b4c4aa1.js
 HTTP  4/6/2026 12:35:06 AM ::1 Returned 200 in 20 ms
 HTTP  4/6/2026 12:36:23 AM ::1 GET /
 HTTP  4/6/2026 12:36:23 AM ::1 Returned 200 in 2 ms
 HTTP  4/6/2026 12:36:23 AM ::1 GET /static/js/main.8b4c4aa1.js
 HTTP  4/6/2026 12:36:23 AM ::1 Returned 200 in 3 ms
 HTTP  4/6/2026 12:37:32 AM ::1 GET /
 HTTP  4/6/2026 12:37:32 AM ::1 Returned 200 in 2 ms
 HTTP  4/6/2026 12:37:32 AM ::1 GET /static/js/main.8b4c4aa1.js
 HTTP  4/6/2026 12:37:32 AM ::1 Returned 200 in 4 ms
 HTTP  4/6/2026 12:38:46 AM ::1 GET /
 HTTP  4/6/2026 12:38:46 AM ::1 Returned 200 in 1 ms
 HTTP  4/6/2026 12:38:46 AM ::1 GET /static/js/main.8b4c4aa1.js
 HTTP  4/6/2026 12:38:46 AM ::1 Returned 200 in 2 ms
